nsize	lsize	n	add	get	del
32	16	2	9.370	2.950	10.730
32	16	3	65.811	39.821	75.311
32	16	4	762.916	541.831	880.598
32	16	5	10112.040	7671.710	11886.318
32	24	1	5.190	0.260	3.220
32	24	2	8.890	3.191	7.740
32	24	3	74.071	40.921	80.502
32	24	4	853.238	558.452	965.450
32	24	5	11278.556	8157.430	12610.624
32	32	1	6.080	0.260	3.201
32	32	2	8.660	3.060	7.550
32	32	3	66.142	40.801	69.261
32	32	4	803.117	527.231	917.339
32	32	5	10526.761	8108.290	12248.306
32	48	1	6.580	0.240	4.170
32	48	2	10.951	3.080	10.680
32	48	3	72.732	41.481	81.781
32	48	4	804.057	524.521	892.809
32	48	5	10912.049	7912.764	12648.064
32	64	1	6.220	0.280	3.470
32	64	2	11.070	3.140	10.381
32	64	3	70.241	40.401	72.162
32	64	4	862.168	560.671	940.940
32	64	5	10775.086	8548.719	11626.403
32	96	1	6.320	0.240	3.140
32	96	2	11.391	3.170	10.170
32	96	3	82.212	42.381	87.032
32	96	4	894.918	546.612	904.459
32	96	5	11963.449	8035.878	13112.844
32	128	1	5.770	0.220	3.270
32	128	2	8.370	2.910	7.141
32	128	3	137.473	41.020	74.872
32	128	4	941.970	549.781	942.860
32	128	5	11714.795	7944.937	11766.666
32	192	1	6.130	0.220	1.870
32	192	2	8.440	2.860	5.660
32	192	3	83.281	41.241	73.462
32	192	4	909.249	556.741	862.488
32	192	5	12622.493	8053.618	11955.560
32	256	1	5.750	0.260	1.841
32	256	2	9.610	2.970	5.800
32	256	3	77.972	39.681	74.941
32	256	4	969.170	551.971	881.658
32	256	5	12071.022	7759.711	11364.537
32	384	1	8.310	0.250	2.050
32	384	2	7.590	2.850	5.890
32	384	3	80.841	39.541	74.282
32	384	4	912.369	553.121	836.338
32	384	5	12758.747	7671.220	11893.749
32	512	1	4.860	0.260	1.960
32	512	2	8.230	2.980	5.910
32	512	3	79.242	39.691	71.601
32	512	4	995.221	565.942	893.348
32	512	5	13022.441	7687.300	12015.012
48	4	1	7.270	0.260	6.341
48	4	2	9.240	2.950	10.580
48	4	3	85.511	41.301	105.402
48	4	4	969.580	589.602	1240.606
48	4	5	11453.619	7744.521	14681.147
48	6	1	8.600	0.260	7.610
48	6	2	9.991	3.010	9.950
48	6	3	72.472	40.000	78.042
48	6	4	857.808	566.232	1061.882
48	6	5	10376.678	7541.067	12484.351
48	8	1	8.571	0.290	6.320
48	8	2	9.760	2.910	17.551
48	8	3	80.472	41.720	91.362
48	8	4	972.790	566.211	1166.445
48	8	5	11686.585	7837.173	14273.148
48	12	1	6.040	0.300	3.220
48	12	2	10.000	3.220	11.800
48	12	3	72.892	43.361	80.621
48	12	4	819.817	563.191	956.420
48	12	5	10961.919	8030.289	12840.678
48	16	1	6.091	0.270	3.170
48	16	2	9.890	3.100	10.981
48	16	3	66.391	40.281	70.361
48	16	4	816.337	544.531	890.269
48	16	5	10390.518	7645.429	11854.527
48	24	1	5.710	0.270	3.150
48	24	2	10.020	3.030	10.360
48	24	3	71.752	43.321	78.741
48	24	4	813.786	538.652	943.619
